"Rare slot (Rare:1,RareWC:2,Mythic:3,MythicWC:4)","rare_pitytimer","mythic_pitytimer"
1,0,0
1,1,1
1,2,2
1,3,3
4,4,4
1,5,0
1,6,1
1,7,2
1,8,3
4,9,4
1,10,0
1,11,1
1,12,2
1,13,3
1,14,4
1,15,5
1,16,6
1,17,7
1,18,8
1,19,9
1,20,10
1,21,11
1,22,12
1,23,13
1,24,14
2,25,15
1,0,16
1,1,17
1,2,18
1,3,19
1,4,20
1,5,21
1,6,22
1,7,23
1,8,24
1,9,25
4,10,26
1,11,0
1,12,1
1,13,2
1,14,3
1,15,4
4,16,5
1,17,0
1,18,1
1,19,2
3,20,3
1,21,4
1,22,5
1,23,6
1,24,7
2,25,8
1,0,9
1,1,10
1,2,11
1,3,12
1,4,13
1,5,14
3,6,15
1,7,16
1,8,17
1,9,18
1,10,19
1,11,20
1,12,21
1,13,22
1,14,23
1,15,24
1,16,25
4,17,26
1,18,0
1,19,1
3,20,2
1,21,3
1,22,4
3,23,5
3,24,6
1,25,7
1,26,8
2,27,9
1,0,10
1,1,11
1,2,12
1,3,13
1,4,14
1,5,15
1,6,16
1,7,17
3,8,18
1,9,19
4,10,20
1,11,0
1,12,1
1,13,2
1,14,3
1,15,4
1,16,5
1,17,6
1,18,7
1,19,8
1,20,9
1,21,10
1,22,11
1,23,12
1,24,13
1,25,14
2,26,15
1,0,16
1,1,17
1,2,18
1,3,19
1,4,20
1,5,21
1,6,22
3,7,23
1,8,24
4,9,25
1,10,0
1,11,1
1,12,2
1,13,3
1,14,4
1,15,5
1,16,6
1,17,7
1,18,8
1,19,9
1,20,10
1,21,11
2,22,12
1,0,13
1,1,14
1,2,15
1,3,16
1,4,17
1,5,18
1,6,19
1,7,20
4,8,21
1,9,0
3,10,1
1,11,2
1,12,3
1,13,4
1,14,5
1,15,6
1,16,7
1,17,8
1,18,9
1,19,10
1,20,11
1,21,12
1,22,13
1,23,14
3,24,15
4,25,16
1,26,0
2,27,1
1,0,2
1,1,3
1,2,4
1,3,5
1,4,6
1,5,7
1,6,8
1,7,9
3,8,10
1,9,11
1,10,12
1,11,13
1,12,14
1,13,15
1,14,16
1,15,17
2,16,18
3,0,19
1,1,20
1,2,21
3,3,22
3,4,23
1,5,24
1,6,25
4,7,26
1,8,0
1,9,1
1,10,2
3,11,3
3,12,4
1,13,5
1,14,6
1,15,7
1,16,8
3,17,9
1,18,10
3,19,11
1,20,12
1,21,13
1,22,14
2,23,15
1,0,16
1,1,17
1,2,18
1,3,19
1,4,20
1,5,21
1,6,22
4,7,23
1,8,0
1,9,1
1,10,2
1,11,3
1,12,4
1,13,5
1,14,6
1,15,7
1,16,8
1,17,9
3,18,10
1,19,11
3,20,12
1,21,13
1,22,14
1,23,15
2,24,16
1,0,17
1,1,18
1,2,19
1,3,20
1,4,21
1,5,22
1,6,23
1,7,24
4,8,25
1,9,0
1,10,1
1,11,2
1,12,3
1,13,4
1,14,5
3,15,6
1,16,7
4,17,8
1,18,0
1,19,1
1,20,2
1,21,3
1,22,4
1,23,5
1,24,6
1,25,7
1,26,8
2,27,9
1,0,10
1,1,11
1,2,12
1,3,13
1,4,14
1,5,15
1,6,16
1,7,17
1,8,18
1,9,19
1,10,20
1,11,21
1,12,22
1,13,23
1,14,24
4,15,25
1,16,0
1,17,1
1,18,2
1,19,3
1,20,4
1,21,5
1,22,6
1,23,7
1,24,8
3,25,9
2,26,10
1,0,11
1,1,12
1,2,13
3,3,14
1,4,15
1,5,16
1,6,17
1,7,18
1,8,19
1,9,20
1,10,21
1,11,22
1,12,23
4,13,24
1,14,0
1,15,1
1,16,2
1,17,3
1,18,4
1,19,5
1,20,6
2,21,7
1,0,8
1,1,9
1,2,10
